SampleID,SampleIDR,SampleType,SampleNeg,SampleOrNeg,SampleType2,SwabType,ExtractionDate,ExtractionStaff,ExtractionKit,DNAConc (ng/ul),ElutionVolume (uL),Notes,DNA.Plate,Well,SequencingRun,TidalZone,SubstrateDepth,Host,Radiusmm,Project,SiteType,LocationType,SiteID,Site,Date,Year,Month,YearMonth,Day,DayOfYear,WastingScore,WastingCategory,DermisType,SSWD,Sterivex,PCRcycles,LifeStage,Sequenced?,ReadCount,Season,Disease_Status_Star,DermisType2
QSMIC0045,QSMIC045,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.47,50,,Plate 1,2F,smic_run1,intertidal,bedrock,Pisaster ochraceus,125,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-05-28,2021,5,2021_5,28,148,2,Mild,H,QSSWD0040,QMIC4256,30,Adult,Yes,34006,Spring,diseased,H_diseased
QSMIC0047,QSMIC047,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.29,50,,Plate 1,2G,smic_run1,intertidal,bedrock,Dermasterias imbricata,125,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-05-28,2021,5,2021_5,28,148,0,Healthy,H,QSSWD0041,QMIC4256,30,Adult,Yes,#N/A,Spring,healthy,H_healthy
QSMIC0048,QSMIC048,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.208,50,,Plate 1,2H,smic_run1,intertidal,bedrock,Pisaster ochraceus,115,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-05-28,2021,5,2021_5,28,148,3,Severe,H,QSSWD0042,QMIC4256,30,Adult,Yes,20360,Spring,diseased,H_diseased
QSMIC0050,QSMIC050,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.591,50,frozen/larger swab tip,Plate 1,3A,smic_run1,intertidal,bedrock,Pisaster ochraceus,105,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-05-28,2021,5,2021_5,28,148,1,Mild,H,QSSWD0043,QMIC4256,30,Adult,Yes,24305,Spring,diseased,H_diseased
QSMIC0057,QSMIC057,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.393,50,,Plate 1,3B,smic_run1,intertidal,bedrock,Dermasterias imbricata,55,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-05-28,2021,5,2021_5,28,148,0,Healthy,H,QSSWD0048,QMIC4256,30,Adult,Yes,2772,Spring,healthy,H_healthy
QSMIC0060,QSMIC060,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.665,50,,Plate 1,3C,smic_run1,intertidal,bedrock,Dermasterias imbricata,60,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-05-28,2021,5,2021_5,28,148,0,Healthy,H,QSSWD0051,QMIC4256,30,Adult,Yes,28561,Spring,healthy,H_healthy
QSMIC0121,QSMIC121,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.588,50,,Plate 1,3D,smic_run1,intertidal,bedrock,Pisaster ochraceus,80,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-07-24,2021,7,2021_7,24,205,0,Healthy,H,QSSWD0101,QMIC4256,30,Adult,Yes,27945,Summer,healthy,H_healthy
QSMIC0123,QSMIC123,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.603,50,,Plate 1,3E,smic_run1,intertidal,bedrock,Pisaster ochraceus,90,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-07-24,2021,7,2021_7,24,205,0,Healthy,H,QSSWD0103,QMIC4256,30,Adult,Yes,36408,Summer,healthy,H_healthy
QSMIC0124,QSMIC124,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.739,50,,Plate 1,3F,smic_run1,intertidal,bedrock,Pisaster ochraceus,60,quadra seastars,Quadra,Quadra,ROCKY14,moulds bay,2021-07-24,2021,7,2021_7,24,205,0,Healthy,H,QSSWD0104,QMIC4256,30,Adult,Yes,27574,Summer,healthy,H_healthy
QSMIC0071,QSMIC071,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.307,50,,Plate 1,3G,smic_run1,intertidal,bedrock,Pisaster ochraceus,100,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-07-22,2021,7,2021_7,22,203,0,Healthy,H,QSSWD0062,QMIC4327,30,Adult,Yes,65575,Summer,healthy,H_healthy
QSMIC0072,QSMIC072,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.502,50,,Plate 1,3H,smic_run1,intertidal,bedrock,Pisaster ochraceus,70,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-07-22,2021,7,2021_7,22,203,0,Healthy,H,QSSWD0063,QMIC4327,30,Adult,Yes,36433,Summer,healthy,H_healthy
Ext_Neg_P1_4A,SSWDN002,Swab,Negative,ExtNeg,SwabExtNeg,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.16,50,SSWDN002,Plate 1,4A,smic_run1,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,#N/A,Yes,#N/A,#N/A,#N/A,#N/A
QSMIC0073,QSMIC073,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.458,50,,Plate 1,4B,smic_run1,intertidal,bedrock,Pisaster ochraceus,80,quadra seastars,Quadra,Quadra,ROCKY12,annex,2021-07-22,2021,7,2021_7,22,203,0,Healthy,H,QSSWD0064,QMIC4327,30,Adult,Yes,40066,Summer,healthy,H_healthy
QSMIC0090,QSMIC090,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.973,50,,Plate 1,4C,smic_run1,intertidal,bedrock,Pisaster ochraceus,90,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-07-23,2021,7,2021_7,23,204,0,Healthy,H,QSSWD0080,QMIC4328,30,Adult,Yes,47649,Summer,healthy,H_healthy
QSMIC0091,QSMIC091,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.872,50,,Plate 1,4D,smic_run1,intertidal,bedrock,Pisaster ochraceus,70,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-07-23,2021,7,2021_7,23,204,1,Mild,H,QSSWD0081,QMIC4328,30,Adult,Yes,31886,Summer,diseased,H_diseased
QSMIC0093,QSMIC093,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.94,50,,Plate 1,4E,smic_run1,intertidal,bedrock,Pisaster ochraceus,140,quadra seastars,Quadra,Quadra,ROCKY13,shellaligan pass,2021-07-23,2021,7,2021_7,23,204,1,Mild,H,QSSWD0082,QMIC4328,30,Adult,Yes,14237,Summer,diseased,H_diseased
SMIC0001,SMIC0001,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.851,50,,Plate 1,4F,smic_run1,intertidal,NA,Dermasterias imbricata,20,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-02-09,2020,2,2020_2,9,40,0,Healthy,H,SSWD0033,,30,Juvenile,Yes,28058,Winter,healthy,H_healthy
SMIC0008,SMIC0008,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.733,50,,Plate 1,4G,smic_run1,intertidal,NA,Dermasterias imbricata,40,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-02-09,2020,2,2020_2,9,40,0,Healthy,H,SSWD0034,,30,Adult,Yes,28016,Winter,healthy,H_healthy
SMIC0010,SMIC0010,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.024,50,frozen/larger swab tip,Plate 1,4H,smic_run1,intertidal,NA,Pisaster ochraceus,60,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-02-09,2020,2,2020_2,9,40,0,Healthy,H,SSWD0021,,30,Adult,Yes,26635,Winter,healthy,H_healthy
SMIC0011,SMIC0011,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.372,50,,Plate 1,5A,smic_run1,intertidal,NA,Pisaster ochraceus,30,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-02-11,2020,2,2020_2,11,42,0,Healthy,H,SSWD0047,,30,Juvenile,Yes,20815,Winter,healthy,H_healthy
SMIC0015,SMIC0015,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.725,50,frozen/larger swab tip,Plate 1,5B,smic_run1,intertidal,NA,Pisaster ochraceus,90,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-02-09,2020,2,2020_2,9,40,0,Healthy,H,SSWD0020,,30,Adult,Yes,18331,Winter,healthy,H_healthy
SMIC0020,SMIC0020,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.288,50,,Plate 1,5C,smic_run1,intertidal,NA,Pisaster ochraceus,70,rocky intertidal,Calvert,OuterIslands,ROCKY03,fifth beach,2020-02-10,2020,2,2020_2,10,41,0,Healthy,H,SSWD0036,,30,Adult,Yes,30289,Winter,healthy,H_healthy
SMIC0027,SMIC0027,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.35,50,,Plate 1,5D,smic_run1,intertidal,NA,Pisaster ochraceus,70,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-02-09,2020,2,2020_2,9,40,0,Healthy,H,SSWD0027,,30,Adult,Yes,26620,Winter,healthy,H_healthy
SMIC0030,SMIC0030,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.353,50,,Plate 1,5E,smic_run1,intertidal,NA,Pisaster ochraceus,55,rocky intertidal,Calvert,OuterIslands,ROCKY03,fifth beach,2020-02-10,2020,2,2020_2,10,41,0,Healthy,H,SSWD0035,,30,Adult,Yes,21853,Winter,healthy,H_healthy
SMIC0031,SMIC0031,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.246,50,,Plate 1,5F,smic_run1,intertidal,NA,Pisaster ochraceus,80,rocky intertidal,Calvert,OuterIslands,ROCKY03,fifth beach,2020-02-10,2020,2,2020_2,10,41,0,Healthy,H,SSWD0037,,30,Adult,Yes,20689,Winter,healthy,H_healthy
SMIC0040,SMIC0040,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.877,50,,Plate 1,5G,smic_run1,intertidal,NA,Pisaster ochraceus,30,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-02-11,2020,2,2020_2,11,42,0,Healthy,H,SSWD0046,,30,Juvenile,Yes,34064,Winter,healthy,H_healthy
SMIC0046,SMIC0046,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.757,50,,Plate 1,5H,smic_run1,intertidal,NA,Pisaster ochraceus,60,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-02-09,2020,2,2020_2,9,40,0,Healthy,H,SSWD0022,,30,Adult,Yes,24127,Winter,healthy,H_healthy
SMIC0117,SMIC0117,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.292,50,,Plate 1,6A,smic_run1,intertidal,NA,Pisaster ochraceus,97,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-05-24,2020,5,2020_5,24,145,0,Healthy,H,SSWD0114,CMIC393,30,Adult,Yes,16372,Spring,healthy,H_healthy
SMIC0118,SMIC0118,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.315,50,,Plate 1,6B,smic_run1,intertidal,NA,Pisaster ochraceus,102,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-05-24,2020,5,2020_5,24,145,0,Healthy,H,SSWD0115,CMIC393,30,Adult,Yes,16594,Spring,healthy,H_healthy
SMIC0119,SMIC0119,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.451,50,,Plate 1,6C,smic_run1,intertidal,NA,Pisaster ochraceus,87,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-05-24,2020,5,2020_5,24,145,0,Healthy,H,SSWD0116,CMIC393,30,Adult,Yes,22465,Spring,healthy,H_healthy
SMIC0131,SMIC0131,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,2.509,50,frozen/larger swab tip,Plate 1,6D,smic_run1,intertidal,NA,Dermasterias imbricata,50,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-05-24,2020,5,2020_5,24,145,0,Healthy,H,SSWD0126,CMIC393,30,Adult,Yes,26200,Spring,healthy,H_healthy
SMIC0136,SMIC0136,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.073,50,,Plate 1,6E,smic_run1,intertidal,NA,Dermasterias imbricata,81,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-05-24,2020,5,2020_5,24,145,0,Healthy,H,SSWD0129,CMIC393,30,Adult,Yes,25457,Spring,healthy,H_healthy
SMIC0137,SMIC0137,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.636,50,,Plate 1,6F,smic_run1,intertidal,NA,Dermasterias imbricata,74,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-05-24,2020,5,2020_5,24,145,0,Healthy,H,SSWD0130,CMIC393,30,Adult,Yes,21691,Spring,healthy,H_healthy
Ext_Neg_P1_6G,SSWDN003,Swab,Negative,ExtNeg,SwabExtNeg,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.24,50,SSWDN003,Plate 1,6G,smic_run1,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,#N/A,Yes,#N/A,#N/A,#N/A,#N/A
SMIC0140,SMIC0140,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.501,50,,Plate 1,6H,smic_run1,intertidal,NA,Dermasterias imbricata,87,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-05-24,2020,5,2020_5,24,145,0,Healthy,H,SSWD0132,CMIC393,30,Adult,Yes,27793,Spring,healthy,H_healthy
SMIC0144,SMIC0144,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.166,50,,Plate 1,7A,smic_run1,intertidal,NA,Pisaster ochraceus,NA,rocky intertidal,Calvert,OuterIslands,ROCKY03,fifth beach,2020-05-25,2020,5,2020_5,25,146,0,Healthy,H,SSWD0136,CMIC395,30,Adult,Yes,16374,Spring,healthy,H_healthy
SMIC0145,SMIC0145,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,2.504,50,,Plate 1,7B,smic_run1,intertidal,NA,Pisaster ochraceus,NA,rocky intertidal,Calvert,OuterIslands,ROCKY03,fifth beach,2020-05-25,2020,5,2020_5,25,146,0,Healthy,H,SSWD0137,CMIC395,30,Adult,Yes,23251,Spring,healthy,H_healthy
SMIC0146,SMIC0146,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.273,50,,Plate 1,7C,smic_run1,intertidal,NA,Pisaster ochraceus,NA,rocky intertidal,Calvert,OuterIslands,ROCKY03,fifth beach,2020-05-25,2020,5,2020_5,25,146,0,Healthy,H,SSWD0138,CMIC395,30,Adult,Yes,16446,Spring,healthy,H_healthy
SMIC0157,SMIC0157,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.067,50,,Plate 1,7D,smic_run1,intertidal,NA,Pisaster ochraceus,NA,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-05-26,2020,5,2020_5,26,147,0,Healthy,H,SSWD0148,CMIC396,30,Adult,Yes,23001,Spring,healthy,H_healthy
SMIC0158,SMIC0158,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.433,50,,Plate 1,7E,smic_run1,intertidal,NA,Pisaster ochraceus,NA,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-05-26,2020,5,2020_5,26,147,0,Healthy,H,SSWD0149,CMIC396,30,Adult,Yes,24334,Spring,healthy,H_healthy
SMIC0159,SMIC0159,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.412,50,,Plate 1,7F,smic_run1,intertidal,NA,Pisaster ochraceus,NA,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-05-26,2020,5,2020_5,26,147,0,Healthy,H,SSWD0150,CMIC396,30,Adult,Yes,22516,Spring,healthy,H_healthy
SMIC0167,SMIC0167,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,3.04,50,,Plate 1,7G,smic_run1,intertidal,NA,Dermasterias imbricata,NA,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-05-26,2020,5,2020_5,26,147,0,Healthy,H,SSWD0158,CMIC396,30,Adult,Yes,26216,Spring,healthy,H_healthy
SMIC0168,SMIC0168,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,1.16,50,,Plate 1,7H,smic_run1,intertidal,NA,Dermasterias imbricata,NA,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-05-26,2020,5,2020_5,26,147,0,Healthy,H,SSWD0159,CMIC396,30,Adult,Yes,39775,Spring,healthy,H_healthy
SMIC0169,SMIC0169,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,3.587,50,,Plate 1,8A,smic_run1,intertidal,NA,Dermasterias imbricata,NA,rocky intertidal,Calvert,OuterIslands,ROCKY07,north beach ri,2020-05-26,2020,5,2020_5,26,147,0,Healthy,H,SSWD0160,CMIC396,30,Adult,Yes,61196,Spring,healthy,H_healthy
SMIC0177,SMIC0177,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.437,50,,Plate 1,8B,smic_run1,intertidal,Rock,Pisaster ochraceus,70,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-08-18,2020,8,2020_8,18,231,0,Healthy,H,SSWD0168,,30,Adult,Yes,13892,Summer,healthy,H_healthy
SMIC0178,SMIC0178,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.363,50,,Plate 1,8C,smic_run1,intertidal,Rock,Pisaster ochraceus,80,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-08-18,2020,8,2020_8,18,231,1,Mild,H,SSWD0169,,30,Adult,Yes,20610,Summer,diseased,H_diseased
SMIC0180,SMIC0180,Swab,Sample,Sample,SwabSample,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.334,50,,Plate 1,8D,smic_run1,intertidal,Rock,Pisaster ochraceus,140,rocky intertidal,Calvert,OuterIslands,ROCKY06,west beach ri,2020-08-18,2020,8,2020_8,18,231,0,Healthy,H,SSWD0170,,30,Adult,Yes,21050,Summer,healthy,H_healthy
Ext_Neg_P1_8E,SSWDN004,Swab,Negative,ExtNeg,SwabExtNeg,Cotton,2022-03-10,Carolyn Prentice,Zymo Quick DNA 96 Kit,0.17,50,SSWDN004,Plate 1,8E,smic_run1,NA,#N/A,NA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,#N/A,Yes,#N/A,#N/A,#N/A,#N/A
